Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12633.0,17,3,3514.18,4,3,4,434,Loyal Customers
12634.0,170,2,490.0,1,2,2,122,At Risk
12635.0,27,2,1241.23,3,2,3,323,Potential Loyalists
12636.0,373,1,141.0,1,1,1,111,At Risk
12637.0,13,4,2280.91,4,3,4,434,Loyal Customers
12638.0,274,1,249.8,1,1,1,111,At Risk
12639.0,69,2,826.27,2,2,3,223,At Risk
12643.0,20,6,4960.18,3,4,4,344,Loyal Customers
12644.0,65,3,1440.58,2,3,3,233,At Risk
12645.0,44,4,1764.12,3,3,4,334,Loyal Customers
12647.0,2,27,14201.53,4,4,4,444,Champions
12648.0,72,3,793.95,2,3,3,233,At Risk
12649.0,17,5,1671.14,4,3,3,433,Loyal Customers
12651.0,13,3,263.75,4,3,1,431,Loyal Customers
12652.0,69,1,97.05000000000001,2,1,1,211,At Risk
12653.0,161,1,1950.98,1,1,4,114,At Risk
12655.0,58,1,261.35,2,1,1,211,At Risk
12656.0,60,3,2356.66,2,3,4,234,At Risk
12661.0,71,1,162.0,2,1,1,211,At Risk
12662.0,8,10,3138.2400000000002,4,4,4,444,Champions
12663.0,259,2,239.4,1,2,1,121,At Risk
12664.0,149,2,1188.16,1,2,3,123,At Risk
12665.0,52,2,250.6,3,2,1,321,Potential Loyalists
12666.0,29,1,1248.42,3,1,3,313,Potential Loyalists
12668.0,13,6,7575.88,4,4,4,444,Champions
12670.0,20,2,764.24,3,2,3,323,Potential Loyalists
12671.0,241,1,2622.481,1,1,4,114,At Risk
12672.0,230,1,211.15,1,1,1,111,At Risk
12673.0,36,1,619.5,3,1,2,312,Potential Loyalists
12675.0,188,2,957.25,1,2,3,123,At Risk
12676.0,43,5,1511.7,3,3,3,333,Loyal Customers
12677.0,190,2,395.1,1,2,2,122,At Risk
12678.0,10,9,16652.72,4,4,4,444,Champions
12681.0,2,24,17080.74,4,4,4,444,Champions
12682.0,0,23,11745.69,4,4,4,444,Champions
12683.0,0,8,4220.21,4,4,4,444,Champions
12686.0,6,1,89.14,4,1,1,411,Potential Loyalists
12687.0,115,2,2138.91,2,2,4,224,At Risk
12691.0,55,1,134.6,2,1,1,211,At Risk
12692.0,272,1,110.95,1,1,1,111,At Risk
12693.0,31,3,847.11,3,3,3,333,Loyal Customers
12694.0,56,1,973.68,2,1,3,213,At Risk
12695.0,163,3,825.02,1,3,3,133,At Risk
12696.0,69,2,851.91,2,2,3,223,At Risk
12698.0,225,1,339.75,1,1,2,112,At Risk
12699.0,52,1,638.11,3,1,2,312,Potential Loyalists
12701.0,164,4,1648.7,1,3,3,133,At Risk
12703.0,268,3,722.98,1,3,3,133,At Risk
12705.0,18,5,4893.81,3,3,4,334,Loyal Customers
12708.0,3,9,2601.19,4,4,4,444,Champions
12709.0,1,20,21107.94,4,4,4,444,Champions
12711.0,246,2,1339.05,1,2,3,123,At Risk
12712.0,0,10,2797.53,4,4,4,444,Champions
12714.0,23,7,9384.85,3,4,4,344,Loyal Customers
12717.0,225,1,277.93,1,1,1,111,At Risk
12720.0,4,6,2478.94,4,4,4,444,Champions
12721.0,20,2,1356.95,3,2,3,323,Potential Loyalists
12724.0,18,3,1286.11,3,3,3,333,Loyal Customers
12725.0,6,4,2266.76,4,3,4,434,Loyal Customers
12726.0,22,4,1405.5,3,3,3,333,Loyal Customers
12727.0,77,3,1698.8300000000002,2,3,3,233,At Risk
12728.0,18,1,233.84,3,1,1,311,Potential Loyalists
12730.0,156,1,829.25,1,1,3,113,At Risk
12731.0,77,5,6879.8,2,3,4,234,At Risk
12733.0,24,3,2040.92,3,3,4,334,Loyal Customers
12734.0,9,2,529.25,4,2,2,422,Potential Loyalists
12737.0,133,2,3710.5,2,2,4,224,At Risk
12738.0,7,1,155.35,4,1,1,411,Potential Loyalists
12739.0,20,2,1713.69,3,2,3,323,Potential Loyalists
12741.0,164,2,406.07,1,2,2,122,At Risk
12742.0,260,1,1201.52,1,1,3,113,At Risk
12744.0,94,4,4037.77,2,3,4,234,At Risk
12745.0,121,3,925.41,2,3,3,233,At Risk
12746.0,175,1,254.55,1,1,1,111,At Risk
12747.0,4,16,5061.03,4,4,4,444,Champions
12748.0,0,144,22457.9,4,4,4,444,Champions
12749.0,34,4,2806.48,3,3,4,334,Loyal Customers
12751.0,79,1,268.27,2,1,1,211,At Risk
12755.0,0,10,5218.71,4,4,4,444,Champions
12758.0,94,5,7111.650000000001,2,3,4,234,At Risk
12759.0,21,5,3489.3,3,3,4,334,Loyal Customers
12760.0,90,1,347.8,2,1,2,212,At Risk
12761.0,92,2,782.95,2,2,3,223,At Risk
12763.0,4,1,320.08,4,1,2,412,Potential Loyalists
12765.0,107,6,1404.58,2,4,3,243,At Risk
12766.0,1,3,3078.65,4,3,4,434,Loyal Customers
12767.0,10,1,949.82,4,1,3,413,Potential Loyalists
12768.0,85,1,168.69,2,1,1,211,At Risk
12770.0,91,1,1895.0,2,1,4,214,At Risk
12771.0,120,1,282.3,2,1,1,211,At Risk
12773.0,199,1,124.25,1,1,1,111,At Risk
12774.0,170,1,98.7,1,1,1,111,At Risk
12775.0,23,2,300.08000000000004,3,2,1,321,Potential Loyalists
12776.0,302,1,55.5,1,1,1,111,At Risk
12777.0,92,1,519.45,2,1,2,212,At Risk
12778.0,31,3,953.4499999999999,3,3,3,333,Loyal Customers
12779.0,6,7,2740.91,4,4,4,444,Champions
12780.0,233,1,337.4,1,1,2,112,At Risk
12782.0,9,6,2287.32,4,4,4,444,Champions
12784.0,164,1,1230.33,1,1,3,113,At Risk
12785.0,170,2,788.45,1,2,3,123,At Risk
12786.0,244,1,728.5000000000001,1,1,3,113,At Risk
12787.0,48,1,398.52,3,1,2,312,Potential Loyalists
12788.0,98,4,444.90000000000003,2,3,2,232,At Risk
12789.0,147,2,181.5,1,2,1,121,At Risk
12790.0,45,1,266.93,3,1,1,311,Potential Loyalists
12791.0,8,6,863.51,4,4,3,443,Loyal Customers
12792.0,169,1,426.47,1,1,2,112,At Risk
12793.0,6,2,471.85,4,2,2,422,Potential Loyalists
12796.0,263,1,381.0,1,1,2,112,At Risk
12797.0,0,2,552.08,4,2,2,422,Potential Loyalists
12798.0,56,1,1533.89,2,1,3,213,At Risk
12799.0,164,1,219.35,1,1,1,111,At Risk
12800.0,105,3,584.25,2,3,2,232,At Risk
12801.0,135,1,1071.82,2,1,3,213,At Risk
12802.0,77,6,1988.84,2,4,4,244,At Risk
12803.0,28,1,1092.81,3,1,3,313,Potential Loyalists
12804.0,100,2,325.37,2,2,2,222,At Risk
12805.0,16,4,1434.95,4,3,3,433,Loyal Customers
12806.0,70,4,2878.96,2,3,4,234,At Risk
12807.0,18,1,330.35,3,1,2,312,Potential Loyalists
12808.0,3,3,422.45,4,3,2,432,Loyal Customers
12809.0,200,2,1266.63,1,2,3,123,At Risk
12810.0,169,2,534.99,1,2,2,122,At Risk
12811.0,13,2,519.0500000000001,4,2,2,422,Potential Loyalists
12813.0,136,3,1687.8,1,3,3,133,At Risk
12817.0,34,2,524.94,3,2,2,322,Potential Loyalists
12819.0,93,1,540.52,2,1,2,212,At Risk
12820.0,32,7,1747.18,3,4,4,344,Loyal Customers
12821.0,246,1,128.08,1,1,1,111,At Risk
12823.0,29,13,4742.0,3,4,4,344,Loyal Customers
12825.0,156,2,518.63,1,2,2,122,At Risk
12826.0,0,6,1481.03,4,4,3,443,Loyal Customers
12829.0,185,1,92.3,1,1,1,111,At Risk
12831.0,98,2,236.06,2,2,1,221,At Risk
12835.0,62,41,5996.83,2,4,4,244,At Risk
12836.0,24,11,3949.37,3,4,4,344,Loyal Customers
12837.0,204,1,528.5600000000001,1,1,2,112,At Risk
12838.0,8,9,2694.75,4,4,4,444,Champions
12839.0,2,13,4480.31,4,4,4,444,Champions
12840.0,72,3,1315.2,2,3,3,233,At Risk
12841.0,4,17,3472.61,4,4,4,444,Champions
12842.0,39,2,799.0,3,2,3,323,Potential Loyalists
12843.0,17,22,4881.1,4,4,4,444,Champions
12844.0,77,2,322.64,2,2,2,222,At Risk
12846.0,317,1,15.58,1,1,1,111,At Risk
12847.0,22,1,765.36,3,1,3,313,Potential Loyalists
12848.0,310,1,208.0,1,1,1,111,At Risk
12849.0,16,4,2032.18,4,3,4,434,Loyal Customers
12850.0,80,1,330.0,2,1,2,212,At Risk
12851.0,112,1,148.95,2,1,1,211,At Risk
12853.0,62,5,1950.4,2,3,4,234,At Risk
12854.0,196,4,1654.72,1,3,3,133,At Risk
12855.0,7,4,612.84,4,3,2,432,Loyal Customers
12857.0,71,4,2581.6,2,3,4,234,At Risk
12858.0,18,1,147.27,3,1,1,311,Potential Loyalists
12859.0,93,1,575.1,2,1,2,212,At Risk
12860.0,328,1,54.22,1,1,1,111,At Risk
12861.0,254,1,68.25,1,1,1,111,At Risk
12862.0,60,2,984.62,2,2,3,223,At Risk
12863.0,14,5,2271.35,4,3,4,434,Loyal Customers
12864.0,143,1,152.45,1,1,1,111,At Risk
12865.0,13,2,1755.24,4,2,4,424,Potential Loyalists
12866.0,109,2,668.23,2,2,2,222,At Risk
12867.0,32,6,3819.92,3,4,4,344,Loyal Customers
12868.0,8,3,640.0,4,3,2,432,Loyal Customers
12869.0,316,1,337.66999999999996,1,1,2,112,At Risk
12870.0,10,3,1676.95,4,3,3,433,Loyal Customers
12871.0,74,1,363.38,2,1,2,212,At Risk
12872.0,0,11,3062.52,4,4,4,444,Champions
12873.0,32,2,1653.3,3,2,3,323,Potential Loyalists
12874.0,20,2,948.42,3,2,3,323,Potential Loyalists
12875.0,106,3,1013.7600000000001,2,3,3,233,At Risk
12876.0,29,2,1863.77,3,2,4,324,Potential Loyalists
12877.0,36,8,1406.3700000000001,3,4,3,343,Loyal Customers
12880.0,16,2,640.13,4,2,2,422,Potential Loyalists
12887.0,18,1,222.4,3,1,1,311,Potential Loyalists
12889.0,16,4,385.46000000000004,4,3,2,432,Loyal Customers
12890.0,22,1,329.3,3,1,2,312,Potential Loyalists
12891.0,93,8,509.5,2,4,2,242,At Risk
12892.0,31,1,263.38,3,1,1,311,Potential Loyalists
12894.0,210,1,157.35,1,1,1,111,At Risk
12897.0,16,2,297.75,4,2,1,421,Potential Loyalists
12898.0,98,2,296.21,2,2,1,221,At Risk
12899.0,48,1,366.4,3,1,2,312,Potential Loyalists
12900.0,57,1,340.33000000000004,2,1,2,212,At Risk
12903.0,63,1,833.5300000000001,2,1,3,213,At Risk
12905.0,211,2,1018.42,1,2,3,123,At Risk
12907.0,30,2,508.91,3,2,2,322,Potential Loyalists
12908.0,15,3,1026.0,4,3,3,433,Loyal Customers
12909.0,59,3,924.52,2,3,3,233,At Risk
12910.0,14,5,2721.48,4,3,4,434,Loyal Customers
12911.0,186,1,1651.72,1,1,3,113,At Risk
12913.0,3,9,4217.23,4,4,4,444,Champions
12914.0,35,1,223.98,3,1,1,311,Potential Loyalists
12915.0,7,3,811.1,4,3,3,433,Loyal Customers
12916.0,77,3,1534.78,2,3,3,233,At Risk
12917.0,35,5,3765.2,3,3,4,334,Loyal Customers
12918.0,261,1,10953.5,1,1,4,114,At Risk
12920.0,206,3,323.86,1,3,2,132,At Risk
12921.0,1,39,19333.95,4,4,4,444,Champions
12923.0,25,2,597.6,3,2,2,322,Potential Loyalists
12924.0,28,8,1535.7,3,4,3,343,Loyal Customers
12925.0,227,1,35.28,1,1,1,111,At Risk
12926.0,46,4,1523.97,3,3,3,333,Loyal Customers
12927.0,29,1,197.31,3,1,1,311,Potential Loyalists
12928.0,13,7,2242.19,4,4,4,444,Champions
12931.0,15,42,50291.38,4,4,4,444,Champions
12932.0,174,8,1698.56,1,4,3,143,At Risk
12933.0,15,5,1029.1,4,3,3,433,Loyal Customers
12934.0,371,1,181.65,1,1,1,111,At Risk
12935.0,10,8,2083.16,4,4,4,444,Champions
12937.0,98,5,1593.34,2,3,3,233,At Risk
12939.0,14,12,13683.0,4,4,4,444,Champions
12941.0,359,1,377.49,1,1,2,112,At Risk
12942.0,0,1,258.75,4,1,1,411,Potential Loyalists
12943.0,193,2,496.5,1,2,2,122,At Risk
12945.0,291,1,437.16,1,1,2,112,At Risk
12946.0,71,1,324.45,2,1,2,212,At Risk
12947.0,8,1,304.04,4,1,1,411,Potential Loyalists
12948.0,365,2,252.48,1,2,1,121,At Risk
12949.0,17,14,11359.48,4,4,4,444,Champions
12951.0,21,9,2149.65,3,4,4,344,Loyal Customers
12953.0,157,1,498.96,1,1,2,112,At Risk
12954.0,273,1,162.45,1,1,1,111,At Risk
12956.0,319,3,413.82,1,3,2,132,At Risk
12957.0,176,5,4689.43,1,3,4,134,At Risk
12958.0,35,2,467.34,3,2,2,322,Potential Loyalists
12959.0,119,1,150.95,2,1,1,211,At Risk
12960.0,48,4,1322.0700000000002,3,3,3,333,Loyal Customers
12961.0,14,1,211.99,4,1,1,411,Potential Loyalists
12963.0,0,5,1744.96,4,3,4,434,Loyal Customers
12964.0,72,1,132.24,2,1,1,211,At Risk
12967.0,6,2,2646.02,4,2,4,424,Potential Loyalists
12969.0,237,1,122.45,1,1,1,111,At Risk
12970.0,15,6,1048.13,4,4,3,443,Loyal Customers
12971.0,1,33,4782.88,4,4,4,444,Champions
12972.0,48,4,1161.2,3,3,3,333,Loyal Customers
12973.0,48,1,385.55,3,1,2,312,Potential Loyalists
12974.0,200,1,264.15,1,1,1,111,At Risk
12975.0,71,6,2100.09,2,4,4,244,At Risk
12976.0,13,7,2417.78,4,4,4,444,Champions
12977.0,136,3,474.64,1,3,2,132,At Risk
12978.0,20,5,2502.82,3,3,4,334,Loyal Customers
12979.0,364,1,517.7,1,1,2,112,At Risk
12980.0,21,12,8870.880000000001,3,4,4,344,Loyal Customers
12982.0,29,7,2354.27,3,4,4,344,Loyal Customers
12983.0,233,1,490.08,1,1,2,112,At Risk
12986.0,63,10,2729.84,2,4,4,244,At Risk
12987.0,55,3,753.51,2,3,3,233,At Risk
12989.0,59,18,6627.64,2,4,4,244,At Risk
12990.0,52,4,546.0,3,3,2,332,Loyal Customers
12991.0,24,1,261.06,3,1,1,311,Potential Loyalists
12992.0,360,1,93.35,1,1,1,111,At Risk
12993.0,80,4,844.87,2,3,3,233,At Risk
12996.0,10,1,355.5,4,1,2,412,Potential Loyalists
12997.0,29,4,884.02,3,3,3,333,Loyal Customers
12998.0,127,3,920.08,2,3,3,233,At Risk
13000.0,360,1,497.65,1,1,2,112,At Risk
13001.0,39,20,14256.68,3,4,4,344,Loyal Customers
13002.0,51,2,293.18,3,2,1,321,Potential Loyalists
13004.0,21,18,5994.94,3,4,4,344,Loyal Customers
13005.0,66,2,485.98,2,2,2,222,At Risk
13007.0,214,1,175.25,1,1,1,111,At Risk
13008.0,32,2,382.66,3,2,2,322,Potential Loyalists
13009.0,307,1,234.0,1,1,1,111,At Risk
13010.0,9,2,330.12,4,2,2,422,Potential Loyalists
13011.0,7,1,50.550000000000004,4,1,1,411,Potential Loyalists
13012.0,64,3,1310.99,2,3,3,233,At Risk
13013.0,6,18,7814.83,4,4,4,444,Champions
13014.0,67,1,1914.8,2,1,4,214,At Risk
13015.0,73,6,3240.14,2,4,4,244,At Risk
13018.0,48,7,2485.46,3,4,4,344,Loyal Customers
13019.0,14,6,1229.95,4,4,3,443,Loyal Customers
13020.0,197,2,618.96,1,2,2,122,At Risk
13021.0,9,8,2270.86,4,4,4,444,Champions
13022.0,64,1,65.3,2,1,1,211,At Risk
13023.0,163,1,759.13,1,1,3,113,At Risk
13024.0,105,2,555.87,2,2,2,222,At Risk
13025.0,366,1,323.39,1,1,2,112,At Risk
13026.0,123,4,757.72,2,3,3,233,At Risk
13027.0,20,13,10327.2,3,4,4,344,Loyal Customers
13029.0,9,2,679.8,4,2,2,422,Potential Loyalists
13030.0,3,1,402.36,4,1,2,412,Potential Loyalists
13031.0,42,5,3292.84,3,3,4,334,Loyal Customers
13032.0,27,7,1805.78,3,4,4,344,Loyal Customers
13033.0,64,1,30.0,2,1,1,211,At Risk
13034.0,4,2,279.91,4,2,1,421,Potential Loyalists
13035.0,66,1,442.32,2,1,2,212,At Risk
13036.0,319,1,307.1,1,1,1,111,At Risk
13037.0,34,9,3033.88,3,4,4,344,Loyal Customers
13039.0,219,4,1010.73,1,3,3,133,At Risk
13041.0,85,4,799.13,2,3,3,233,At Risk
13042.0,233,3,1488.59,1,3,3,133,At Risk
13044.0,127,10,4287.58,2,4,4,244,At Risk
13045.0,36,2,503.64,3,2,2,322,Potential Loyalists
13046.0,91,1,319.94,2,1,2,212,At Risk
13047.0,8,17,5557.62,4,4,4,444,Champions
13048.0,71,5,2229.7200000000003,2,3,4,234,At Risk
13049.0,24,2,751.5600000000001,3,2,3,323,Potential Loyalists
13050.0,1,19,6477.67,4,4,4,444,Champions
13051.0,213,2,155.8,1,2,1,121,At Risk
13052.0,55,6,2771.18,2,4,4,244,At Risk
13053.0,256,1,127.65,1,1,1,111,At Risk
13055.0,64,1,1106.7,2,1,3,213,At Risk
13056.0,186,1,209.48,1,1,1,111,At Risk
13057.0,165,3,709.59,1,3,3,133,At Risk
13059.0,48,9,2108.37,3,4,4,344,Loyal Customers
13063.0,115,1,188.4,2,1,1,211,At Risk
13064.0,185,2,561.25,1,2,2,122,At Risk
13065.0,8,5,1055.05,4,3,3,433,Loyal Customers
13067.0,44,2,393.05,3,2,2,322,Potential Loyalists
13069.0,4,16,5185.51,4,4,4,444,Champions
13070.0,94,3,522.9,2,3,2,232,At Risk
13071.0,247,1,129.22,1,1,1,111,At Risk
13073.0,46,2,418.08,3,2,2,322,Potential Loyalists
13074.0,146,4,1378.74,1,3,3,133,At Risk
13076.0,92,1,135.4,2,1,1,211,At Risk
13077.0,1,8,2326.35,4,4,4,444,Champions
13078.0,1,32,16904.51,4,4,4,444,Champions
