Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn
12500.0,70,8,1697.39,2,4,3,243,At Risk,0
12503.0,219,1,1126.0,1,1,3,113,At Risk,1
12504.0,52,2,297.0,3,2,1,321,Potential Loyalists,0
12505.0,43,1,955.2,3,1,3,313,Potential Loyalists,0
12507.0,219,1,539.25,1,1,2,112,At Risk,1
12510.0,94,7,4195.45,2,4,4,244,At Risk,0
12511.0,63,1,3084.02,2,1,4,214,At Risk,0
12514.0,276,1,580.08,1,1,2,112,At Risk,1
12516.0,65,2,1336.56,2,2,3,223,At Risk,0
12519.0,111,1,385.7000000000001,2,1,2,212,At Risk,0
12523.0,9,12,2562.58,4,4,4,444,Champions,0
12524.0,23,9,6640.39,3,4,4,344,Loyal Customers,0
12525.0,133,3,973.73,2,3,3,233,At Risk,0
12527.0,129,2,386.8,2,2,2,222,At Risk,0
12529.0,163,1,316.48,1,1,2,112,At Risk,0
12530.0,50,5,2096.98,3,3,4,334,Loyal Customers,0
12531.0,321,1,1807.98,1,1,4,114,At Risk,1
12533.0,262,2,1367.89,1,2,3,123,At Risk,1
12537.0,43,1,732.94,3,1,3,313,Potential Loyalists,0
12538.0,13,1,276.5,4,1,1,411,Potential Loyalists,0
12539.0,85,3,5646.400000000001,2,3,4,234,At Risk,0
12540.0,13,16,8854.25,4,4,4,444,Champions,0
12542.0,119,2,481.88,2,2,2,222,At Risk,0
12543.0,83,1,980.25,2,1,3,213,At Risk,0
12547.0,135,1,175.78,2,1,1,211,At Risk,0
12549.0,210,6,1575.68,1,4,3,143,At Risk,1
12553.0,20,2,916.47,3,2,3,323,Potential Loyalists,0
12554.0,83,1,468.5,2,1,2,212,At Risk,0
12555.0,317,1,129.23,1,1,1,111,At Risk,1
12557.0,6,4,6725.18,4,3,4,434,Loyal Customers,0
12562.0,20,2,1185.18,3,2,3,323,Potential Loyalists,0
12563.0,43,1,249.24,3,1,1,311,Potential Loyalists,0
12567.0,2,7,4308.58,4,4,4,444,Champions,0
12568.0,279,1,70.0,1,1,1,111,At Risk,1
12570.0,317,1,77.52,1,1,1,111,At Risk,1
12573.0,16,4,556.87,4,3,2,432,Loyal Customers,0
12575.0,92,2,622.82,2,2,2,222,At Risk,0
12576.0,27,3,826.89,3,3,3,333,Loyal Customers,0
12577.0,16,5,990.5,4,3,3,433,Loyal Customers,0
12578.0,20,2,1847.94,3,2,4,324,Potential Loyalists,0
12580.0,211,1,637.2,1,1,2,112,At Risk,1
12582.0,57,2,1469.04,2,2,3,223,At Risk,0
12583.0,8,13,7166.06,4,4,4,444,Champions,0
12586.0,9,3,1865.73,4,3,4,434,Loyal Customers,0
12588.0,34,3,743.88,3,3,3,333,Loyal Customers,0
12589.0,56,6,4048.98,2,4,4,244,At Risk,0
12591.0,25,2,886.1,3,2,3,323,Potential Loyalists,0
12592.0,154,3,2145.06,1,3,4,134,At Risk,0
12594.0,13,5,1751.89,4,3,4,434,Loyal Customers,0
12595.0,139,1,299.02,1,1,1,111,At Risk,0
12598.0,98,3,1511.01,2,3,3,233,At Risk,0
12599.0,16,6,1264.14,4,4,3,443,Loyal Customers,0
12600.0,6,12,2444.88,4,4,4,444,Champions,0
12601.0,39,1,104.2,3,1,1,311,Potential Loyalists,0
12605.0,11,4,1232.95,4,3,3,433,Loyal Customers,0
12606.0,317,1,21.0,1,1,1,111,At Risk,1
12608.0,39,1,415.79,3,1,2,312,Potential Loyalists,0
12609.0,9,6,2309.01,4,4,4,444,Champions,0
12613.0,23,5,3472.99,3,3,4,334,Loyal Customers,0
12615.0,48,4,3449.79,3,3,4,334,Loyal Customers,0
12616.0,23,1,417.8,3,1,2,312,Potential Loyalists,0
12619.0,195,1,140.14,1,1,1,111,At Risk,1
12621.0,0,16,11086.14,4,4,4,444,Champions,0
12623.0,51,6,3442.74,3,4,4,344,Loyal Customers,0
12625.0,144,2,2481.06,1,2,4,124,At Risk,0
12629.0,20,2,1558.22,3,2,3,323,Potential Loyalists,0
12631.0,91,5,2841.07,2,3,4,234,At Risk,0
12632.0,155,2,804.88,1,2,3,123,At Risk,0
12633.0,17,3,3514.18,4,3,4,434,Loyal Customers,0
12634.0,170,2,490.0,1,2,2,122,At Risk,0
12635.0,27,2,1241.23,3,2,3,323,Potential Loyalists,0
12636.0,373,1,141.0,1,1,1,111,At Risk,1
12637.0,13,4,2280.91,4,3,4,434,Loyal Customers,0
12638.0,274,1,249.8,1,1,1,111,At Risk,1
12639.0,69,2,826.27,2,2,3,223,At Risk,0
12643.0,20,6,4960.18,3,4,4,344,Loyal Customers,0
12644.0,65,3,1440.58,2,3,3,233,At Risk,0
12645.0,44,4,1764.12,3,3,4,334,Loyal Customers,0
12647.0,2,27,14201.53,4,4,4,444,Champions,0
12648.0,72,3,793.95,2,3,3,233,At Risk,0
12649.0,17,5,1671.14,4,3,3,433,Loyal Customers,0
12651.0,13,3,263.75,4,3,1,431,Loyal Customers,0
12652.0,69,1,97.05,2,1,1,211,At Risk,0
12653.0,161,1,1950.98,1,1,4,114,At Risk,0
12655.0,58,1,261.35,2,1,1,211,At Risk,0
12656.0,60,3,2356.66,2,3,4,234,At Risk,0
12661.0,71,1,162.0,2,1,1,211,At Risk,0
12662.0,8,10,3138.24,4,4,4,444,Champions,0
12663.0,259,2,239.4,1,2,1,121,At Risk,1
12664.0,149,2,1188.16,1,2,3,123,At Risk,0
12665.0,52,2,250.6,3,2,1,321,Potential Loyalists,0
12666.0,29,1,1248.42,3,1,3,313,Potential Loyalists,0
12668.0,13,6,7575.88,4,4,4,444,Champions,0
12670.0,20,2,764.24,3,2,3,323,Potential Loyalists,0
12671.0,241,1,2622.481,1,1,4,114,At Risk,1
12672.0,230,1,211.15,1,1,1,111,At Risk,1
12673.0,36,1,619.5,3,1,2,312,Potential Loyalists,0
12675.0,188,2,957.25,1,2,3,123,At Risk,1
12676.0,43,5,1511.7,3,3,3,333,Loyal Customers,0
12677.0,190,2,395.1,1,2,2,122,At Risk,1
12678.0,10,9,16652.72,4,4,4,444,Champions,0
12681.0,2,24,17080.74,4,4,4,444,Champions,0
12682.0,0,23,11745.69,4,4,4,444,Champions,0
12683.0,0,8,4220.21,4,4,4,444,Champions,0
12686.0,6,1,89.14,4,1,1,411,Potential Loyalists,0
12687.0,115,2,2138.91,2,2,4,224,At Risk,0
12691.0,55,1,134.6,2,1,1,211,At Risk,0
12692.0,272,1,110.95,1,1,1,111,At Risk,1
12693.0,31,3,847.11,3,3,3,333,Loyal Customers,0
12694.0,56,1,973.68,2,1,3,213,At Risk,0
12695.0,163,3,825.02,1,3,3,133,At Risk,0
12696.0,69,2,851.91,2,2,3,223,At Risk,0
12698.0,225,1,339.75,1,1,2,112,At Risk,1
12699.0,52,1,638.11,3,1,2,312,Potential Loyalists,0
12701.0,164,4,1648.7,1,3,3,133,At Risk,0
12703.0,268,3,722.98,1,3,3,133,At Risk,1
12705.0,18,5,4893.81,3,3,4,334,Loyal Customers,0
12708.0,3,9,2601.19,4,4,4,444,Champions,0
12709.0,1,20,21107.94,4,4,4,444,Champions,0
12711.0,246,2,1339.05,1,2,3,123,At Risk,1
12712.0,0,10,2797.53,4,4,4,444,Champions,0
12714.0,23,7,9384.85,3,4,4,344,Loyal Customers,0
12717.0,225,1,277.93,1,1,1,111,At Risk,1
12720.0,4,6,2478.94,4,4,4,444,Champions,0
12721.0,20,2,1356.95,3,2,3,323,Potential Loyalists,0
12724.0,18,3,1286.11,3,3,3,333,Loyal Customers,0
12725.0,6,4,2266.76,4,3,4,434,Loyal Customers,0
12726.0,22,4,1405.5,3,3,3,333,Loyal Customers,0
12727.0,77,3,1698.8300000000002,2,3,3,233,At Risk,0
12728.0,18,1,233.84,3,1,1,311,Potential Loyalists,0
12730.0,156,1,829.25,1,1,3,113,At Risk,0
12731.0,77,5,6879.8,2,3,4,234,At Risk,0
12733.0,24,3,2040.92,3,3,4,334,Loyal Customers,0
12734.0,9,2,529.25,4,2,2,422,Potential Loyalists,0
12737.0,133,2,3710.5,2,2,4,224,At Risk,0
12738.0,7,1,155.35,4,1,1,411,Potential Loyalists,0
12739.0,20,2,1713.69,3,2,3,323,Potential Loyalists,0
12741.0,164,2,406.07,1,2,2,122,At Risk,0
12742.0,260,1,1201.52,1,1,3,113,At Risk,1
12744.0,94,4,4037.77,2,3,4,234,At Risk,0
12745.0,121,3,925.41,2,3,3,233,At Risk,0
12746.0,175,1,254.55,1,1,1,111,At Risk,0
12747.0,4,16,5061.03,4,4,4,444,Champions,0
12748.0,0,144,22457.9,4,4,4,444,Champions,0
12749.0,34,4,2806.48,3,3,4,334,Loyal Customers,0
12751.0,79,1,268.27,2,1,1,211,At Risk,0
12755.0,0,10,5218.71,4,4,4,444,Champions,0
12758.0,94,5,7111.650000000001,2,3,4,234,At Risk,0
12759.0,21,5,3489.3,3,3,4,334,Loyal Customers,0
12760.0,90,1,347.8,2,1,2,212,At Risk,0
12761.0,92,2,782.95,2,2,3,223,At Risk,0
12763.0,4,1,320.08,4,1,2,412,Potential Loyalists,0
12765.0,107,6,1404.58,2,4,3,243,At Risk,0
12766.0,1,3,3078.65,4,3,4,434,Loyal Customers,0
12767.0,10,1,949.82,4,1,3,413,Potential Loyalists,0
12768.0,85,1,168.69,2,1,1,211,At Risk,0
12770.0,91,1,1895.0,2,1,4,214,At Risk,0
12771.0,120,1,282.3,2,1,1,211,At Risk,0
12773.0,199,1,124.25,1,1,1,111,At Risk,1
12774.0,170,1,98.7,1,1,1,111,At Risk,0
12775.0,23,2,300.08000000000004,3,2,1,321,Potential Loyalists,0
12776.0,302,1,55.5,1,1,1,111,At Risk,1
12777.0,92,1,519.45,2,1,2,212,At Risk,0
12778.0,31,3,953.45,3,3,3,333,Loyal Customers,0
12779.0,6,7,2740.91,4,4,4,444,Champions,0
12780.0,233,1,337.4,1,1,2,112,At Risk,1
12782.0,9,6,2287.32,4,4,4,444,Champions,0
12784.0,164,1,1230.33,1,1,3,113,At Risk,0
12785.0,170,2,788.45,1,2,3,123,At Risk,0
12786.0,244,1,728.5000000000001,1,1,3,113,At Risk,1
12787.0,48,1,398.52,3,1,2,312,Potential Loyalists,0
12788.0,98,4,444.9,2,3,2,232,At Risk,0
12789.0,147,2,181.5,1,2,1,121,At Risk,0
12790.0,45,1,266.93,3,1,1,311,Potential Loyalists,0
12791.0,8,6,863.51,4,4,3,443,Loyal Customers,0
12792.0,169,1,426.47,1,1,2,112,At Risk,0
12793.0,6,2,471.85,4,2,2,422,Potential Loyalists,0
12796.0,263,1,381.0,1,1,2,112,At Risk,1
12797.0,0,2,552.08,4,2,2,422,Potential Loyalists,0
12798.0,56,1,1533.89,2,1,3,213,At Risk,0
12799.0,164,1,219.35,1,1,1,111,At Risk,0
12800.0,105,3,584.25,2,3,2,232,At Risk,0
12801.0,135,1,1071.82,2,1,3,213,At Risk,0
12802.0,77,6,1988.84,2,4,4,244,At Risk,0
12803.0,28,1,1092.81,3,1,3,313,Potential Loyalists,0
12804.0,100,2,325.37,2,2,2,222,At Risk,0
12805.0,16,4,1434.95,4,3,3,433,Loyal Customers,0
12806.0,70,4,2878.96,2,3,4,234,At Risk,0
12807.0,18,1,330.35,3,1,2,312,Potential Loyalists,0
12808.0,3,3,422.45,4,3,2,432,Loyal Customers,0
12809.0,200,2,1266.63,1,2,3,123,At Risk,1
12810.0,169,2,534.99,1,2,2,122,At Risk,0
12811.0,13,2,519.0500000000001,4,2,2,422,Potential Loyalists,0
12813.0,136,3,1687.8,1,3,3,133,At Risk,0
12817.0,34,2,524.94,3,2,2,322,Potential Loyalists,0
12819.0,93,1,540.52,2,1,2,212,At Risk,0
12820.0,32,7,1747.18,3,4,4,344,Loyal Customers,0
12821.0,246,1,128.08,1,1,1,111,At Risk,1
12823.0,29,13,4742.0,3,4,4,344,Loyal Customers,0
12825.0,156,2,518.63,1,2,2,122,At Risk,0
12826.0,0,6,1481.03,4,4,3,443,Loyal Customers,0
12829.0,185,1,92.3,1,1,1,111,At Risk,1
12831.0,98,2,236.06,2,2,1,221,At Risk,0
12835.0,62,41,5996.83,2,4,4,244,At Risk,0
12836.0,24,11,3949.37,3,4,4,344,Loyal Customers,0
12837.0,204,1,528.5600000000001,1,1,2,112,At Risk,1
12838.0,8,9,2694.75,4,4,4,444,Champions,0
12839.0,2,13,4480.31,4,4,4,444,Champions,0
12840.0,72,3,1315.2,2,3,3,233,At Risk,0
12841.0,4,17,3472.61,4,4,4,444,Champions,0
12842.0,39,2,799.0,3,2,3,323,Potential Loyalists,0
12843.0,17,22,4881.1,4,4,4,444,Champions,0
12844.0,77,2,322.64,2,2,2,222,At Risk,0
12846.0,317,1,15.58,1,1,1,111,At Risk,1
12847.0,22,1,765.36,3,1,3,313,Potential Loyalists,0
12848.0,310,1,208.0,1,1,1,111,At Risk,1
12849.0,16,4,2032.18,4,3,4,434,Loyal Customers,0
12850.0,80,1,330.0,2,1,2,212,At Risk,0
12851.0,112,1,148.95,2,1,1,211,At Risk,0
12853.0,62,5,1950.4,2,3,4,234,At Risk,0
12854.0,196,4,1654.72,1,3,3,133,At Risk,1
12855.0,7,4,612.84,4,3,2,432,Loyal Customers,0
12857.0,71,4,2581.6,2,3,4,234,At Risk,0
12858.0,18,1,147.27,3,1,1,311,Potential Loyalists,0
12859.0,93,1,575.1,2,1,2,212,At Risk,0
12860.0,328,1,54.22,1,1,1,111,At Risk,1
12861.0,254,1,68.25,1,1,1,111,At Risk,1
12862.0,60,2,984.62,2,2,3,223,At Risk,0
12863.0,14,5,2271.35,4,3,4,434,Loyal Customers,0
12864.0,143,1,152.45,1,1,1,111,At Risk,0
12865.0,13,2,1755.24,4,2,4,424,Potential Loyalists,0
12866.0,109,2,668.23,2,2,2,222,At Risk,0
12867.0,32,6,3819.92,3,4,4,344,Loyal Customers,0
12868.0,8,3,640.0,4,3,2,432,Loyal Customers,0
12869.0,316,1,337.67,1,1,2,112,At Risk,1
12870.0,10,3,1676.95,4,3,3,433,Loyal Customers,0
12871.0,74,1,363.38,2,1,2,212,At Risk,0
12872.0,0,11,3062.52,4,4,4,444,Champions,0
12873.0,32,2,1653.3,3,2,3,323,Potential Loyalists,0
12874.0,20,2,948.42,3,2,3,323,Potential Loyalists,0
12875.0,106,3,1013.76,2,3,3,233,At Risk,0
12876.0,29,2,1863.77,3,2,4,324,Potential Loyalists,0
12877.0,36,8,1406.37,3,4,3,343,Loyal Customers,0
12880.0,16,2,640.13,4,2,2,422,Potential Loyalists,0
12887.0,18,1,222.4,3,1,1,311,Potential Loyalists,0
12889.0,16,4,385.46,4,3,2,432,Loyal Customers,0
12890.0,22,1,329.3,3,1,2,312,Potential Loyalists,0
12891.0,93,8,509.5,2,4,2,242,At Risk,0
12892.0,31,1,263.38,3,1,1,311,Potential Loyalists,0
12894.0,210,1,157.35,1,1,1,111,At Risk,1
12897.0,16,2,297.75,4,2,1,421,Potential Loyalists,0
12898.0,98,2,296.21,2,2,1,221,At Risk,0
12899.0,48,1,366.4,3,1,2,312,Potential Loyalists,0
12900.0,57,1,340.33000000000004,2,1,2,212,At Risk,0
12903.0,63,1,833.5300000000001,2,1,3,213,At Risk,0
12905.0,211,2,1018.42,1,2,3,123,At Risk,1
12907.0,30,2,508.91,3,2,2,322,Potential Loyalists,0
12908.0,15,3,1026.0,4,3,3,433,Loyal Customers,0
12909.0,59,3,924.52,2,3,3,233,At Risk,0
12910.0,14,5,2721.48,4,3,4,434,Loyal Customers,0
12911.0,186,1,1651.72,1,1,3,113,At Risk,1
12913.0,3,9,4217.23,4,4,4,444,Champions,0
12914.0,35,1,223.98,3,1,1,311,Potential Loyalists,0
12915.0,7,3,811.1,4,3,3,433,Loyal Customers,0
12916.0,77,3,1534.78,2,3,3,233,At Risk,0
12917.0,35,5,3765.2,3,3,4,334,Loyal Customers,0
12918.0,261,1,10953.5,1,1,4,114,At Risk,1
12920.0,206,3,323.86,1,3,2,132,At Risk,1
12921.0,1,39,19333.95,4,4,4,444,Champions,0
12923.0,25,2,597.6,3,2,2,322,Potential Loyalists,0
12924.0,28,8,1535.7,3,4,3,343,Loyal Customers,0
12925.0,227,1,35.28,1,1,1,111,At Risk,1
12926.0,46,4,1523.97,3,3,3,333,Loyal Customers,0
12927.0,29,1,197.31,3,1,1,311,Potential Loyalists,0
12928.0,13,7,2242.19,4,4,4,444,Champions,0
12931.0,15,42,50291.38,4,4,4,444,Champions,0
12932.0,174,8,1698.56,1,4,3,143,At Risk,0
12933.0,15,5,1029.1,4,3,3,433,Loyal Customers,0
12934.0,371,1,181.65,1,1,1,111,At Risk,1
12935.0,10,8,2083.16,4,4,4,444,Champions,0
12937.0,98,5,1593.34,2,3,3,233,At Risk,0
12939.0,14,12,13683.0,4,4,4,444,Champions,0
12941.0,359,1,377.49,1,1,2,112,At Risk,1
12942.0,0,1,258.75,4,1,1,411,Potential Loyalists,0
12943.0,193,2,496.5,1,2,2,122,At Risk,1
12945.0,291,1,437.16,1,1,2,112,At Risk,1
12946.0,71,1,324.45,2,1,2,212,At Risk,0
12947.0,8,1,304.04,4,1,1,411,Potential Loyalists,0
12948.0,365,2,252.48,1,2,1,121,At Risk,1
12949.0,17,14,11359.48,4,4,4,444,Champions,0
12951.0,21,9,2149.65,3,4,4,344,Loyal Customers,0
12953.0,157,1,498.96,1,1,2,112,At Risk,0
12954.0,273,1,162.45,1,1,1,111,At Risk,1
12956.0,319,3,413.82,1,3,2,132,At Risk,1
12957.0,176,5,4689.43,1,3,4,134,At Risk,0
12958.0,35,2,467.34,3,2,2,322,Potential Loyalists,0
12959.0,119,1,150.95,2,1,1,211,At Risk,0
12960.0,48,4,1322.0700000000002,3,3,3,333,Loyal Customers,0
12961.0,14,1,211.99,4,1,1,411,Potential Loyalists,0
12963.0,0,5,1744.96,4,3,4,434,Loyal Customers,0
12964.0,72,1,132.24,2,1,1,211,At Risk,0
12967.0,6,2,2646.02,4,2,4,424,Potential Loyalists,0
12969.0,237,1,122.45,1,1,1,111,At Risk,1
12970.0,15,6,1048.13,4,4,3,443,Loyal Customers,0
12971.0,1,33,4782.88,4,4,4,444,Champions,0
12972.0,48,4,1161.2,3,3,3,333,Loyal Customers,0
12973.0,48,1,385.55,3,1,2,312,Potential Loyalists,0
12974.0,200,1,264.15,1,1,1,111,At Risk,1
12975.0,71,6,2100.09,2,4,4,244,At Risk,0
12976.0,13,7,2417.78,4,4,4,444,Champions,0
12977.0,136,3,474.64,1,3,2,132,At Risk,0
12978.0,20,5,2502.82,3,3,4,334,Loyal Customers,0
12979.0,364,1,517.7,1,1,2,112,At Risk,1
12980.0,21,12,8870.880000000001,3,4,4,344,Loyal Customers,0
12982.0,29,7,2354.27,3,4,4,344,Loyal Customers,0
12983.0,233,1,490.08,1,1,2,112,At Risk,1
12986.0,63,10,2729.84,2,4,4,244,At Risk,0
12987.0,55,3,753.51,2,3,3,233,At Risk,0
12989.0,59,18,6627.64,2,4,4,244,At Risk,0
12990.0,52,4,546.0,3,3,2,332,Loyal Customers,0
12991.0,24,1,261.06,3,1,1,311,Potential Loyalists,0
12992.0,360,1,93.35,1,1,1,111,At Risk,1
12993.0,80,4,844.87,2,3,3,233,At Risk,0
12996.0,10,1,355.5,4,1,2,412,Potential Loyalists,0
12997.0,29,4,884.02,3,3,3,333,Loyal Customers,0
12998.0,127,3,920.08,2,3,3,233,At Risk,0
13000.0,360,1,497.65,1,1,2,112,At Risk,1
13001.0,39,20,14256.68,3,4,4,344,Loyal Customers,0
13002.0,51,2,293.18,3,2,1,321,Potential Loyalists,0
13004.0,21,18,5994.94,3,4,4,344,Loyal Customers,0
13005.0,66,2,485.98,2,2,2,222,At Risk,0
13007.0,214,1,175.25,1,1,1,111,At Risk,1
13008.0,32,2,382.66,3,2,2,322,Potential Loyalists,0
13009.0,307,1,234.0,1,1,1,111,At Risk,1
13010.0,9,2,330.12,4,2,2,422,Potential Loyalists,0
13011.0,7,1,50.55,4,1,1,411,Potential Loyalists,0
13012.0,64,3,1310.99,2,3,3,233,At Risk,0
13013.0,6,18,7814.83,4,4,4,444,Champions,0
13014.0,67,1,1914.8,2,1,4,214,At Risk,0
13015.0,73,6,3240.14,2,4,4,244,At Risk,0
13018.0,48,7,2485.46,3,4,4,344,Loyal Customers,0
13019.0,14,6,1229.95,4,4,3,443,Loyal Customers,0
13020.0,197,2,618.96,1,2,2,122,At Risk,1
13021.0,9,8,2270.86,4,4,4,444,Champions,0
13022.0,64,1,65.3,2,1,1,211,At Risk,0
13023.0,163,1,759.13,1,1,3,113,At Risk,0
13024.0,105,2,555.87,2,2,2,222,At Risk,0
13025.0,366,1,323.39,1,1,2,112,At Risk,1
13026.0,123,4,757.72,2,3,3,233,At Risk,0
13027.0,20,13,10327.2,3,4,4,344,Loyal Customers,0
13029.0,9,2,679.8,4,2,2,422,Potential Loyalists,0
13030.0,3,1,402.36,4,1,2,412,Potential Loyalists,0
13031.0,42,5,3292.84,3,3,4,334,Loyal Customers,0
13032.0,27,7,1805.78,3,4,4,344,Loyal Customers,0
13033.0,64,1,30.0,2,1,1,211,At Risk,0
13034.0,4,2,279.91,4,2,1,421,Potential Loyalists,0
